urdu_text,is_sarcastic,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
2004 م نشئ ن کہ تھ اگر اسٹیبلشمنٹ چاہی کت بھ وزیراعظم بن سکت 2018 م ہم ن کت کو PMبنت دیکھ لی,1.0,,,,,,
مشکل لیکن ناممکن نہ اگر کامران صاحب کوشش,0.0,,,,,,
م ن پور ہفت س سالن روٹ نہ کھای حال نہ میر,0.0,,,,,,
وھ بھ ھو بیشک م ھ ھو و کیمن حرام زیاد ھو جو حق بات نہ کرت کامران خان تم ن کتن پیس لی,1.0,,,,,,
م ماض انتہائ ب وقوف حال سمجھدار لڑک مریم نواز بزدارکی_پرواز_بلاول_بیک,0.0,,,,,,
آمین ثم آمین,0.0,,,,,,
جیتھ کھوت وتھ آ کھلوت,1.0,,,,,,
اسمبل بغیر ڈیزل چل کیونک  سکو گدھ رہ ھ گدھ کو ڈیزل نہ ڈنڈ,1.0,,,,,,
عجیب بات کامران خان صاحب ن پنگ بھ ان س جن ابھ بھ گولیاں محو رقص انہ پت ہون چاہیئ آپ کوئ بھ خبر غلط نہ سکت,0.0,,,,,,
درواز بہت اتارت پہل اب خود کو تھپڑ لگات,1.0,,,,,,
ویس اپن پیر کلہاڑ مارن کوئ ان س سیکھ,1.0,,,,,,
آپ دلہن پھپھو میر نہ,0.0,,,,,,
م محمد ندیم ملک بطور عام پاکستان بلاول زردار دل عزیز وزیر اعل پنجاب جناب عثمان احمد خان بزدار خلاف بیان پرزور مزمت کرت بزدارکی_پرواز_بلاول_بیکار,1.0,,,,,,
قطر نان بلو ران ذلیل ہون ک وقت چاہت قطر نان گیم م بر طرح پھنس گی صفدر کو آزاد کر واک اب سار ٹوپ ڈرام جب فوج بلو ران گ عزت مآب م ن خود درخواست آپ حضور قطر نان جال س بچائ,1.0,,,,,,
اچھ بھائی کو زیاد ویلکم کر سکت تم لڑک بہن کو نہ بل زر ہمار بھائی پ کڑ نظر,0.0,,,,,,
موٹ چڑیل ٹویٹ کس,0.0,,,,,,
ایتھ ت سب جج ن,1.0,,,,,,
اک محترم سار دن پاک فوج خلاف بکواس کر رات کو فوج ساتھ سو جات کر گل,1.0,,,,,,
ان کو لگت انک دیوت طرح پاکستان لکیر سہار سوچت بولت,0.0,,,,,,
ہاہاہاہاہاہاہاہاہاہاہااہاہاہاہ لگد ا مین ا قربان دین پڑن ا,0.0,,,,,,
نہ اس کو الٹ کھوپڑ بات کان س سنو دوسر س نکال,1.0,,,,,,
سن تھ 1 ہوت ساتھ 1 11 گیار بن جات مگر تاریخ م 11 کو 1 ن برباد کردی وا خان صاحب,1.0,,,,,,
و اپن زندگ م مصروف اتن و کس کو بھول گی اس بھ یاد نہ اردو_زبان,0.0,,,,,,
ہور ٹرک آن س,1.0,,,,,,
جو بھ ملوث  س کو دوبار سندھ پولیس حوال کرن چاہی,1.0,,,,,,
اس وچ کہڑ جوک جناب چھڈو رھن دیو تہان گیم د نہ پت اج,0.0,,,,,,
شکر استعف لکھن آی اب اگل جنم م مل بھ جائ گ,0.0,,,,,,
خبر آرم چیف ن بلاول پریس کانفرنس بعد نہ بلک صبح کراچ واقعات بابت نوٹس کر کور کمانڈر کراچ کو تحقیقات کر رپورٹ پیش کرن ک حکم دی تھ جس بعد سندھ حکومت ن IG سندھ کو زبردست چھٹی بھیج کھیل مزید دلچسپ گی,1.0,,,,,,
کراچ جلس م کو کر بلالی گی تھ بلاول مرگی ھ اسک برس ھ ISPR,1.0,,,,,,
محبت وراثت م نہ ملت تلاش کرن پڑت ہے_ ادب_کا_سفر,0.0,,,,,,
شکری آپ ک نوازش بہت,0.0,,,,,,
دوسر بیویاں دیکھ کر جلن س بہتر ی اپن بیوی خرچ انہ پارلر کر جائ مارخورز,1.0,,,,,,
سعید غن عمران خان سازش مراد عل شا پولیس ن سب کی الحمدلل خود بےنقاب,1.0,,,,,,
صاف اک بات بلاک نہ سچ بتائو تبدیل نظر آرہ ن لفاف صاف صحاف,0.0,,,,,,
ہاہاہاہاہاہ چالیس سال صحافت ک بلتکار کردی حامد میر مول خوش,0.0,,,,,,
دراصل ٹکل انکل نان کو چم دین چاہت تھ مگر بیچ م نان آگئ,1.0,,,,,,
اوئ بڑ غائب غائب ویلکم ویلکم,1.0,,,,,,
ہ ہ ہ آہو,0.0,,,,,,
پشاور ہاٸیکورٹ ن لیگ رہنم امیر مقام خلاف FIA تمام کیسز سفارشات رد کر امیر مقام کو باعزت بر کر دی,0.0,,,,,,
لیکن  س چیف ک نوٹس لین ایس ھ ھو جیس دودھ ک راکھ بل ی چراغ تل اندھیر,1.0,,,,,,
6 بسکٹ گن کر اس م,1.0,,,,,,
معاف نہ دیند قوم ن,0.0,,,,,,
غلام رسول م موت بھ قبول جو ن عشق مصطف زندگ فضول حضورصلى الله عليه وسلم خاتم النبيين آپ صلى الله عليه وسلم بعد نب نہ گ بے_شک,0.0,,,,,,
شاید کامران خان کچھ بیرون دوست مدد لٸ تیار بیٹھ ہم پت ن,1.0,,,,,,
و م ن پوچھن تھ م بھ چھٹ درخواست لکھ د کی,1.0,,,,,,
شغل میل لان دؤ توان پین ج,0.0,,,,,,
جس ن فالورز بڑھان ہمار پاس تشریف لائ ایس محسوس ہوت جیس دیوار پ حکیم صاحب ک اشتہار لگ ٹوئیٹر_دواخان,0.0,,,,,,
ب غیرت جاہل سو عمران نیاز ک ساتھ اب نہ گ ہارون رشید StandWithSindhPolice,1.0,,,,,,
میر فلاسف کو کھل عام ڈرام بول ج رہ اس ک بھ نوٹس لی جائ مائ لارڈ,1.0,,,,,,
ڈیر خکول ماشاءالله,0.0,,,,,,
دیکھت ہم ن کاف مقدار م پاپ کارن منگو لی,0.0,,,,,,
آواز قائد اعظم ن بھ س ن تم لوگو فون آی تھ میر پاس پوچھ میر مزار م گدھ کیس داخل,1.0,,,,,,
تعجب نہ لیکن کی نہ جانت کس ن کس کہن کاروائ ڈال ھ کچھ ریلیف مل گ بلاول سیاستدان صف م شامل ھوگی لیکن ھمار نعر وہ ھ ووٹ_کو_عزت_دو,1.0,,,,,,
کی حسن اتفاق ان گل م ہم اک کام س کام س,0.0,,,,,,
اتن بڑ معامل گی یار وزیراعظم کو بھ نوٹس لین ک بول ڈم مگر PM,1.0,,,,,,
وہ لطیف وال کپتان ھ اک میراث ن اپن مرغ ک نام کپتان رکھ تھ جو اپن ورد اتار کر گی تھ,1.0,,,,,,
مرد اپن جوان م اپن اعمال س اپن بیٹ قسمت جوان لکھ رہ ہوت,0.0,,,,,,
دیکھ ساق کیس بست ھ عشق وجود م سلطنت میر ھ رگ رگ پ حکومت یار,0.0,,,,,,
لفظ دوست تشریح عزت ن کرن وال عجیب غریب ب ڈھنگ پروا مخلوق,1.0,,,,,,
وہ عرض کرن کوشش کر رہ دون ڈھنگ کھسم مر کی,1.0,,,,,,
الل پاک نئ زندگ م سکون عط فرماۓ آمین ثم آمین,0.0,,,,,,
ایناں مین ن ہوی جیناں توان اوی ا,0.0,,,,,,
ملازم تنخوا 1 تول سون برابر س بیغیرت ن ڈ چوک کہ تھ در_در_نیاز,1.0,,,,,,
اپوزیشن کبھ عمران خان کٹھ پ تل فیصل کرت ھ کبھ عمران خان ہم س انتقام رہ ھ,1.0,,,,,,
جلد کہ تب س سوچ,0.0,,,,,,
بدزبان بد کلام چوہان چوہان نیاز اپن ٹائیگر نام کت کو لگام BachaKhanOurHero,1.0,,,,,,
اچھ دماغ بغیر دماغ وال گھومت دماغ صرف موجودگ نہ استعمال بھ ہون چاہی,1.0,,,,,,
عورت اتن وف کاف نہ و تمہار ساتھ جنت خواب دیکھت جبک تم اس پہلو م بیٹھ کر بھ تین بیوی خواب دیکھ ہو_,0.0,,,,,,
تس کسطرح سان بھل سکد,0.0,,,,,,
فسادن مل ت کوج ہنھ,1.0,,,,,,
زردار پت نہ کون س بدل چک ن لیک س پہل گنج س فوج مخالف تقریر کروائ کراچ م گنج تقریر اجازت نہ ن لیک پوسٹر نیچ پیپلزپارٹ لکھو کر بینرز وائرل اب اس ک جوائ گرفتار کرو دی اتحاد ی ن لیک بینڈ بجائ جارہ ISPR,1.0,,,,,,
گشت پاگل ہوگ اس کو سیریس ن بھائی,1.0,,,,,,
شام جتن ریٹویٹ ان کو سپیشل پروموشن لسٹ م شامل کی جائ گ جلد س ریٹویٹ اپن گارنٹ ف,0.0,,,,,,
سرعام جو حق گوئ ک ہنر پای عل س عشق کی جگر پای,0.0,,,,,,
وچل ذرائع مطابق کپٹن صفدر کو گرفتار کر فوج س 1992 ک بدل لی گی CompromiseGames,1.0,,,,,,
پٹواریوں_کی_مادرملت جیس بن سوار سوار,1.0,,,,,,
نکم کیپٹن صفدو,1.0,,,,,,
پہل گجر طیار وڑائچ طیار چیم طیار مگر اب پیش خدمت نیو خان طیار بزدارکی_پرواز_پنجاب_بیکار,0.0,,,,,,
گل خان لیول,0.0,,,,,,
پٹواری بھ کی زندگ جنم انسان وال مل حساب کت وال دین ہوگ,0.0,,,,,,
کی باجو چھات سو قریب میڈل نہ دیکھ کی پچھل چار سال سےاتن بڑ پاکستان فتح کر رہ کشمیر فتح کرن اسک بائ ہاتھ ک کھیل س پوچھ,1.0,,,,,,
راکٹ سائنس نہ جیو شیرن,1.0,,,,,,
عمران خان ان مشیر وزیر کو نیند نہ ا پنڈ بوا کال گئ,1.0,,,,,,
zabardast میر زندگ رابط م شفاء جیس و میر روح م شامل محبت انتہ جیس,0.0,,,,,,
سن آرم چیف صاحب ن ووٹ چور ک نوٹس بہت خوب,0.0,,,,,,
ذرا_ذر س تھ تھ کمال ک و تمہار مسکران جو ھم ڈوب,0.0,,,,,,
لگت نان ۴٢٠ زنبیل م بہت کچھ دفن,1.0,,,,,,
ویس آڑ پہل سب کچھ خود بعد م  نہ کو تحقیقات ک ح کم جو آپ ماتحت قوم کو پاگل بنان کتن آسان,1.0,,,,,,
اب ٹرک پیچھ لکھ گ سندھ پولیس کو سلام,1.0,,,,,,
مادر ملت نہ مادر زلت,0.0,,,,,,
نئ افتخار ٹھاکر سٹائل,0.0,,,,,,
بلاول بھٹو زردار,0.0,,,,,,
ار پوچھن بتان کی ضروت ھ سب کو پت ھ رات تم ن کہاں کس ساتھ گزار ھ,1.0,,,,,,
پور پاکستان م چنگچ ڈھونڈ اب محترم نان ج اپن بیانی گھر گھر پہنچائ انقلاب,1.0,,,,,,
بریکنگ نیوز صرف کامیاب جلس بعد نک اب ج استعف صدائ آن شروع مبارک ریاست_سے_,1.0,,,,,,
ڈوب اص ل م لفاف خون لبرل جو روز جھوٹ بولت روز ذلیل کر سوت لگت ان کو ذلیل ہون عادت س,0.0,,,,,,
غم زندگ تیر را م شب آرزو تیر چا م جو اجڑ گی و بس نہ جو بچھڑ گی و مل نہ,0.0,,,,,,
آپ علاؤ دنی م فسادن نہ سچ م مطلب کنوار مر گ,0.0,,,,,,
سمجھ نہ آرہ 9 بج خبر دیکھ ی فلم سنگم,1.0,,,,,,
بلو ران طبعیت خراب ہوگ,1.0,,,,,,
زیاد بھونکن نہ پہل آئ ج س پوچھ کس ن دباو ڈال ھ سندھ گورنمنٹ ن ی وفاق ن پہر ج بھر بھونک لین,1.0,,,,,,
م آپ بات پ غور کر آپ ک بہت شکری,0.0,,,,,,
پان ختم کرن م پرائمر سکول بچ ک بھ بڑ ہاتھ منٹ بعد اشتاد ج پان پ آواں,0.0,,,,,,
حامد میر صاحب اب ان بیچار کامران خان کو اغواکار چنگل س ازاد کران آپ ک کام,1.0,,,,,,
کاک جب تم ن عدت پور نہ ہون عوام کیس مدت پور ہون,1.0,,,,,,
حکومت ک ترجمان بھ گھٹی بات کرت,1.0,,,,,,
ن صرف حکومت حکومت اندر بھ حکومت ہوت حکومت اوپر بھ حکومت ہوت حکومت نیچ بھ حکومت ہوت بلاول بھٹو زردار,0.0,,,,,,
بہت یہ درست روی,0.0,,,,,,
قسم انج ا گل ا,0.0,,,,,,
کیپٹن صفدر ک جلد چھوٹن وزیر موسمیات زرتاج گل ک اظہار اطمینان,1.0,,,,,,
ھاھاھاھاھااو تیر خیر او پاٸی تس فیاض نال گل پٸ کرد او جون سن نال نٸ,1.0,,,,,,
جماعت اسلام جلس جلوس حکومت مخالف تحریک نہ نوکر شاہ دلال م پ ڈ ایم مخالفت م کر,1.0,,,,,,
ھاھاھاھ ت تیار ر بس,0.0,,,,,,
مز ت ماہی  ن آن انیل کپور بلو ران کو کچھ سمجھ نہ آ رہ تھ کی کہن نامراد ن بات بلو ران دوسر کھڑ,0.0,,,,,,
اس کو فراغت,0.0,,,,,,
میاں ساب خود کو شیر ثابت کرن کو پونچھ لگوان لی سرجر لی روان ذرایع حامڈ میڑ,1.0,,,,,,
مجھ لگ رہ بہت جلد کامران خان ک سوفٹ ویئر بھ اپ ڈیٹ ہون وال بھ شیخ رشید طرح خودکش بن چک گھنٹ اپن کو نقصان پہنچان پ لگ,1.0,,,,,,
نظرتوصرف ہم لڑکی کولگت لڑک پیچھےتوجب بھ کت زاد,1.0,,,,,,
بست خراب کامران خان,0.0,,,,,,
ملن تھ بار  س منیر ایس م  چاہت تھ ایس نہ ھو,0.0,,,,,,
اس طرح الیکشن ت بعد ن امیدوار چیف الیکشن کمشنر نو گول مار دیند,0.0,,,,,,
پوچھن لگھڑ بھگڑ مطلب کپٹن صفدر کو کس ن گرفتار کروای پ پ آپ ساتھ بہت بڑ گیم کر,1.0,,,,,,
بزدارکی_پرواز_بلاول_بیکار خان صاحب ن کہ حرام پل بچ ھ جن م س نان ھ حیرت اس بات ھ انکو حرام پل کہن اعتراض نہ بلک نان کہن اعتراض ھو ھ,1.0,,,,,,
عمران خان کو کریڈٹ دین پڑ گ اپن ساتھ ساتھ اپن لان وال کو به ذلیل کرو رہ یوتھی بےچار سبیل الل ذلیل ہيں مان مرشد تیر ميں تین تین شکار StateAboveStateRejected IGSindh,1.0,,,,,,
کیپٹن صفدر ک نی گان ریلیز اک کت جئ زنان پیچھ رول جوان,0.0,,,,,,
ایس جھاد مجاد,0.0,,,,,,
تمہ بھ قائد اعظم محمد عل جناح رح عزت ک پاس نہ تم ہم چھٹیاں بت تمہ شرم آن چاہی قانون عمل نہ کی گی ملک کس باپ نہ تمام پاکستانی ک ملک مادر وطن اب اس گھر داماد کو مچھ جیل م ہون چاہی تھ قانون پڑھو,0.0,,,,,,
حامد میر صاحب آپ ن حکومت مام بیٹ کامران کلاس باخد یقین نہ آت لڑک کامران وہ جو Geo News پروگرام کی کرت تھ اب قوم کو بھ پک یقین گی اصل وال حکومت مام ک بیٹ کامران,1.0,,,,,,
قاتل بندوق س ذیاد طاقت صحاف قلم کیمر م لیکن شرط کیمر کس بک دلال حامد میر صحاف ہاتھ م ن,1.0,,,,,,
کپتان صفدر اعوان ن جذبات ہوند ت ن ایہ سار کم پیند سار اعوان بابر اعوان ت فردوس عاشق اعوان نئ ہوند,1.0,,,,,,
پچیس نہ پیچش سال,0.0,,,,,,
اذان غور س سننےس کاف ذہن بیماری س نجات مل جات,0.0,,,,,,
کس بدتمیز س مت گھبرائ و بس اپن تعارف کروات سمجھدار  س م آپ  نہ پہچان کر آگ چل د,0.0,,,,,,
سندھ حکومت بد نام مریم نان تیر لی کوئی_مرادعلی_شاہ_سےپوچھ,1.0,,,,,,
آریحائ فوج ن ملازمت چھوڑ کر کھیت باڑ کرن آرائی ک پیش ذراعت باغ بان پیاز اگان کھان سالن کوپیاز ک تڑک لگان ک بھ تمام اقوام ن انہ س سیکھ آرائ عرب نسل س مگر عرب س عجم سفر م انک زبان تہذیب م نمائیاں فرق آی,1.0,,,,,,
کامران صاحب ک نش شاہین ک نش واقع مام ک بیٹ کامران,1.0,,,,,,
سچ مز آی ویس حیدر بھائ بہت پیار انسان,0.0,,,,,,
زندگ بےوف مان مگر,0.0,,,,,,
تیر یہ کہن بنت,0.0,,,,,,
فیصل واوڈ گھٹی ترین وزیر اعلان ختم,1.0,,,,,,
اب انڈی سوگ م ڈوب ہوگ کی انرت ہوگی پاکستان م کیونک انڈی ہمیش ووٹ_کو_عزت_دو بات پ دیوال مانت انڈین دوست کو جان کر جیو,1.0,,,,,,
ڈھائ ہزار کرسی پانچ لاکھ کو بٹھان ذم دار حامد میر عاصم شیراز سلیم لفاف,1.0,,,,,,
م روز صبح جلد اٹھت کالج جان س پہل 5 منت لی ٹویٹر آ صبح بخیر ٹویٹ کر سک بھ لیٹ جات ٹویٹ نہ کر پات کالج وین آگ آگ اورم پیچھ بھاگ,0.0,,,,,,
کیس کیس گانڈو بھڑو دلال کنجر نشئ چور اچک حرامخور کرپٹ زان پالشیئ ھمار دل کو جلان آ جات ھ کس مادر یو,0.0,,,,,,
سندھ پولیس کو عزت آرم چیف تحقیقات رپورٹ سامن آن,0.0,,,,,,
سلیم لفاف صحاف صاحب پور عوام کو پت آپ کتن نیک صحاف پیپلز پارٹ نون لیگ مولان فضل ,1.0,,,,,,
کامران خان آپک دن بھری زم دار لگائ اپوزیشن کردار کش اوراس پربھونکناہےآپ خوشامدگر وچاپلوس سےاورکتن دولت کماناچاہتےہ موٹرسائیکل سےپیجارو پراڈو کےسفرم ضمیرک لاش سےاٹھت بدبوآپ ناک بند نہ نوٹ آپ سب سےالتجاگزارش ہےہم بھ فالوکر شکری,1.0,,,,,,
بڑ لڑائ م بچ ک کام نہ تم کس خوش م اچھل رھ ھو تابعدار ملازم مریم نواز StateAboveStateRejected,1.0,,,,,,
پاکستان تاریخ صرف نوازشریف کو اعزاز حاصل ھو ھ ان ک بیانی لوئر کلاس م بھ پاپولر ھورھ ھ وؤٹ کو عزت,0.0,,,,,,
پوچھن چاہی بند بوٹ چاٹ چاٹ تھکت نہ,0.0,,,,,,
شاعر ن لکھ,0.0,,,,,,
آئو ن ڈوبت کہاں ڈوبن پٹوارن ج,1.0,,,,,,
ان بیغیرت اب بھ مر جائ ان کو افسوس ن ہوگ بیان ان ک محض ڈرام مبن,1.0,,,,,,
س ا راء ٹکڑ پ پلن کت خاص نسل ک کام ایس پاک فوج پ بھونکن ت پھونک ج,1.0,,,,,,
پھپھو س کس نظر ہٹ تب ن,0.0,,,,,,
شکو بہت کس ک بر چاہن میر تربیت م نہ,0.0,,,,,,
اپن آپس چ فساد پ جان و,0.0,,,,,,
کچھ صحافی کو کھسر اوزار دئ جونس بھ سائڈ استعمال کر سکو مثل کامران خان ساتھ,1.0,,,,,,
فرق نہ پڑت اگر سندھ پولیس افسران چھٹ ٹائیگر فورس کو اس دن لیئ تیار کی تھ فیاض چوہان ڈاکٹر شہباز گل,1.0,,,,,,
سن آرم چیف صاحب ن ووٹ چور ک نوٹس بہت خوب,1.0,,,,,,
بڑ لڑائ م بچ ک کام نہ تم کس خوش م اچھل رھ ھوتابعدار ملازم مریم نوازشریف StateAboveStateRejected,0.0,,,,,,
ہائ الل مینو ت سب بھول,0.0,,,,,,
بھ لفاف خور بن گی میڈم ج,0.0,,,,,,
اتن عزت کبھ مریم ن کپٹن صفدر کو نہ جتن بلاول رہ,1.0,,,,,,
لڑکیاں سوٹ پہن کر دوسر شاد م نہ جات لڑک ن ماسک م کرون نکال دی,1.0,,,,,,
م ن کچھ لگ رکھ اپن پیٹھ پیچھ برائ کرن لی تنخوا کچھ بھ نہ مگر کام بڑ ایماندار س,1.0,,,,,,
کھو جاو لگت,0.0,,,,,,
کٹھ پتل بن کر ر نہ سکت م سلیوٹ پیش کرت IG سندھ سندھ پولیس کو جہن ن اپن دائر اختیار اثر انداز ہون وال خلاف احتجاج چھٹ درخواست جمع کروان شروع کرد,0.0,,,,,,
ITTEFAQ_PROMO بہترین فالوبیک ٹیم,0.0,,,,,,
کامران خان کی بس خوامخوا,1.0,,,,,,
عورت جیس بیوقوف مخلوق نہ محبت عزت مل محبت م شراکت ہنست ہنست سہ جات,1.0,,,,,,
آرم چیف ن نہایت سیان س پیپلز پارٹ کو اب نون لیگ بیانی س بہت کر لی دیکھت رہی نون لیگ م حالت کی ہون,1.0,,,,,,
بھ سہ کہ,0.0,,,,,,
میر صاحب کامران خان صاحب کو 7 خون بھ معاف,0.0,,,,,,
شخص کو گرات گرات کتن گر دوسر کو کاٹ چاٹ پٹواریوں_کی_مادرملت,1.0,,,,,,
کراچ جلس م افراتفر پھیل جب جنریٹر ن آواز ڈیزل مک گی ج پٹواریوں_کی_مادرملت,1.0,,,,,,
نوٹس ایس جیس پہل پت نہ تھ,1.0,,,,,,
غزو سندھ ٹویٹس ڈرافٹ کر رھ ھ,0.0,,,,,,
ا قدرت حسین مورت م تمہار ح سن کو جانچن بیٹھ مجھ صدیاں بھ کم پڑ جائ ا ادائ س خن تمہار جب چ ھون س دھرت ک و ٹکر سال اپن قسمت ناز کرت تمہار ہاتھ چ ھو لین س ازل س بیمار شخص لمح م ہوت دیکھ گی,0.0,,,,,,
سندھ پولیس عزت میر عزت سندھ پولیس ب عزت میر ب عزت چیئرمین بلاول بھٹو زردار زند پولیس زند,0.0,,,,,,
پاک فوج ساتھ مگر کس سیاس جرنیل ساتھ نہ,1.0,,,,,,
جو اپن بیو کو عزت نہ سکت و سندھ پولیس کو عزت دلوائ,1.0,,,,,,
اس خنزیرکےبچےکاباق کاٹبرجوپاکستان م ہےاسےISIاٹھاکےاس خنزیرکوپاکستان بلاسکت ہےاورپھراس تشریف پرچھترول کےبیل بوٹےبناکےاس کاایجنڈاپروپیگنڈااس تشریف م گھسابھ سکت ہےاوراس کےناجائزباپ گوالمنڈیلاجس کای پالتوکتاہےکوبھ واپس بلاسکت ہےی مادرچودایز لےرہاISIکومیشایادآگئ,1.0,,,,,,
اب مجھ سکین نہ کہت باب مرثی,0.0,,,,,,
سوال بھ جواب پوچھ,0.0,,,,,,
آپ مفت م گھوٹ بو بن,0.0,,,,,,
تبھ گنج کو نکال ہم ن منحوس مار لوڈ شیڈنگ ختم کرن ک وعد کر آی تھ کمبخت,1.0,,,,,,
پرچ پڑھ کر بونگیاں مارت اتن ذلیل ن,1.0,,,,,,
پٹواری س زیاد قابل رحم مخلوق نہ چور باپ ن عیش اولاد کر ھ چھتر پٹوار کھ پٹ,1.0,,,,,,
پت چل گی مین,0.0,,,,,,
سندھ پولیس ک اپن ادار وقار لی احتجاج ک بہترین انداز StateAboveStateRejected,0.0,,,,,,
زندگ کو اتن سست ن بناؤ ٹک کھیل کر جائ,1.0,,,,,,
سار وقت سلیکٹڈ کو بر بھل جب سلیکٹر ک خود کو فون آجائ خوش س بھنگڑ ڈالت بس اتن س اوقات,1.0,,,,,,
سندھ پولیس کو مراد سعید سمجھ ری مز آی ج پٹیل صاحب,1.0,,,,,,
ھن آرام ج,0.0,,,,,,
اکلوت نہ پہل ت ا کلئیر,0.0,,,,,,
مریم نان بنن م اب بھ شکوک بن کدھر س کیونک و صفدر کو نوکر سمجھت افوا سسرال قطر,1.0,,,,,,
درویش جیل س چھٹ گی لیڈر بن کر نکل شاید,1.0,,,,,,
باندر کو دیکھ و مخلوق جو دوسر کو طرح جانت,1.0,,,,,,
آپ کو گال دین بھ گال توہین,0.0,,,,,,
ا ڈ پ بہت بر ا دوسر لگال,0.0,,,,,,
م بس نیوز دیکھن آ جات ٹویٹر پ لکھن شکھن کوٸ نہ کچھ نیوز دیکھ اب گڈ ناٸیٹ,0.0,,,,,,
سال گزر سال پہل پاکستان س پاکستان ک موازن کر میر قائد ن اس کہ ترق,1.0,,,,,,
اس وقت ن لیگ مقبول ترین جبک پ ٹ مجبور ترین نظر آرہ شیخ رشید فضول ترین نظر آرہ,1.0,,,,,,
کامران خان آپک دن بھری زم دار لگائ اپوزیشن کردار کش اوراس پربھونکناہےآپ خوشامدگر وچاپلوس سےاورکتن دولت کماناچاہتےہ موٹرسائیکل سےپیجارو پراڈو کےسفرم ضمیرک لاش سےاٹھت بدبوآپ ناک بند نہ,1.0,,,,,,
تب عقل بھ جم پڑ پھوپھ ج حرکت نہ دس تانو پھوپو ج,0.0,,,,,,
آئ ج SindhPolice کو شمال جات سیر کروان محکم سیاحت کو مہنگ پڑ گی,0.0,,,,,,
تصویر س لےکر لاک اپ نون لیگ کو سمجھ نہ انک ساتھ کی زردار کھیل گی,0.0,,,,,,
رہڈیو پاکستان س 749 ورکرز فارغ کر دیئ ذرائع کپتان کہت 2020 نوکریاں دین ک سال ترق کرن ک سال StateAboveStateRejected,1.0,,,,,,
شبل فیاض شید فواد گل مسٹر اکبر پریس کانفرنس نہ WeStandWithSindhPolice PunjabPolice آپ بھ اب عزت بن,1.0,,,,,,
کامران صاحب چپیڑ کھ کر چوڑ مار دکھاو بتات,1.0,,,,,,
اگر تمہ رہن جگ چاہئ م تمہ اپن آنکھ روشن م سکت,0.0,,,,,,
اس سہیل کنجر بےب د چمڑ ت س گی ج اوتھ ت تیل د پیپ پان پئ گ البت اس بھیناں قابل کاشت ن,0.0,,,,,,
انیس بیس سال ن تھک دی ہم ساٹھ ستر کیس گزار لیت,0.0,,,,,,
